Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
Restaurant 800,Suburban,French,3.5,70,62.34,2365,24475,17,70,102.6058699,2.7,9.5,Yes,60,28,989169.37
Restaurant 801,Suburban,Indian,4.5,68,40.32,2708,33537,6,446,271.3111537,8.8,9.1,No,67,34,626098.61
Restaurant 802,Suburban,Indian,3.2,63,37.17,3116,39277,8,404,124.3267176,4.6,9.8,No,4,17,536260.91
Restaurant 803,Suburban,French,3.6,60,56.74,1513,17718,8,436,254.9616653,1.1,6.9,Yes,16,37,764598.22
Restaurant 804,Suburban,Japanese,3.8,61,71.38,3051,31664,7,138,133.3003235,6.7,3.1,No,19,50,976826.34
Restaurant 805,Rural,American,4.2,40,40.96,929,15183,4,977,252.9952389,5,6.2,Yes,39,35,375547.29
Restaurant 806,Rural,French,3.3,40,64.58,1962,20314,5,838,221.4321911,8.7,4.8,No,28,39,587432.36
Restaurant 807,Suburban,Italian,4.7,70,48.85,2941,34652,8,575,167.1306092,4.9,3.3,No,21,18,770169.75
Restaurant 808,Downtown,Indian,3.9,87,34.65,4113,44551,14,528,180.7363318,4.7,8,Yes,52,48,693454.5
Restaurant 809,Suburban,Mexican,4.8,59,31.59,3301,32851,3,185,94.41488707,5.1,6.7,Yes,7,20,424891.37
Restaurant 810,Downtown,French,3.9,85,60.77,4934,50088,18,56,78.97098715,8.7,8.1,Yes,39,52,1173181.02
Restaurant 811,Suburban,American,3.6,57,42.91,3463,37421,15,789,229.2356976,6.3,3.4,No,46,15,566756.59
Restaurant 812,Suburban,Indian,3.3,55,30.44,2024,25970,5,148,262.1432953,7,9.1,Yes,39,5,385669.66
Restaurant 813,Rural,Japanese,3,48,71.2,2296,23826,15,516,230.4927012,7.5,3.1,Yes,9,25,776842.5
Restaurant 814,Downtown,Italian,4.1,82,46.34,6102,69958,6,748,278.2161765,9.4,6.4,No,80,0,863927.82
Restaurant 815,Downtown,Japanese,3.2,84,68.47,3545,40543,10,179,272.5196035,8.5,1.5,No,45,81,1290903.99
Restaurant 816,Rural,Mexican,3.8,42,32.28,3618,43376,15,374,244.5468196,9.3,5.9,Yes,19,0,328468.56
Restaurant 817,Rural,French,4.2,30,56.73,4171,44244,9,733,274.53173,4.1,1.9,Yes,26,26,397600.76
Restaurant 818,Rural,Indian,3.6,50,33.4,1189,14149,4,115,91.80590095,2.9,4,Yes,1,18,376535.55
Restaurant 819,Rural,French,3.4,31,62.73,1586,21339,8,67,232.8402668,2.8,8.7,No,19,2,444521.25
Restaurant 820,Downtown,American,4.5,82,42.16,2224,22394,13,768,238.4191509,8.7,9,No,28,51,788281.62
Restaurant 821,Downtown,French,4.9,71,56,8560,87862,17,193,88.49414378,8.5,7.9,No,5,69,917707.1
Restaurant 822,Suburban,Italian,3.2,60,51.35,3176,39544,4,317,277.395818,6.9,4.3,Yes,19,30,694230.35
Restaurant 823,Suburban,Mexican,3.3,62,26.62,3145,37825,2,413,52.1963087,1.6,6.2,No,36,33,376617.89
Restaurant 824,Rural,Japanese,4.9,39,67.77,1052,15791,5,365,158.6512491,3.9,3,Yes,18,16,592675.3
Restaurant 825,Rural,Mexican,3.1,44,30.05,2933,32882,2,533,55.36976241,7.6,7.1,Yes,10,2,306382
Restaurant 826,Rural,Indian,5,30,31.2,4816,52999,16,519,180.8394615,3.2,4.1,Yes,15,10,236325.95
Restaurant 827,Suburban,French,3,63,65.93,992,15513,15,359,153.0390384,6.6,3,Yes,17,19,934791.34
Restaurant 828,Suburban,Indian,4.7,59,31.82,2311,23094,4,89,205.7654843,5.9,6.3,Yes,38,1,427286.4
Restaurant 829,Suburban,Japanese,3.6,67,73.59,1052,18652,15,732,241.6110295,3.4,2,No,21,36,1105655.3
Restaurant 830,Suburban,Indian,4.9,60,39.13,2130,21711,5,551,242.1438073,9.4,7.2,Yes,50,52,536842.01
Restaurant 831,Suburban,American,3.6,56,45.94,1920,21924,3,711,230.5554001,3.3,2.7,Yes,13,8,575771.1
Restaurant 832,Suburban,Mexican,4.3,64,29.72,4147,43848,14,53,75.46936044,9.1,6,Yes,41,22,448496.78
Restaurant 833,Suburban,Japanese,3.2,52,74.62,1860,21437,7,509,154.3596315,5.9,4.5,No,5,32,869613.35
Restaurant 834,Rural,Japanese,3.5,31,75.53,2353,30436,15,838,253.9876245,1.8,6.1,No,20,14,541018.49
Restaurant 835,Rural,Japanese,4.5,37,66.9,4270,47319,5,456,213.5750454,8.5,3.2,No,7,30,565098.95
Restaurant 836,Rural,Italian,4.1,37,50.27,2341,25841,9,219,220.2569762,8.1,3.8,Yes,17,18,429288.81
Restaurant 837,Rural,Mexican,4.9,40,25.66,4235,44558,13,908,106.731508,8.5,2.3,Yes,21,3,254193.84
Restaurant 838,Suburban,Indian,3.9,65,36.83,1278,13517,7,858,131.2649652,6.7,8,No,53,33,546101.28
Restaurant 839,Downtown,Japanese,4.7,71,71.4,5987,67580,4,449,288.9528027,7.4,1.6,Yes,34,53,1138167.9
Restaurant 840,Suburban,Mexican,3.9,54,27.25,1155,15569,7,657,261.7313143,9.2,4.4,No,45,14,341491.2
Restaurant 841,Downtown,Japanese,5,76,73.78,2081,26546,1,597,91.23043418,2.1,5,Yes,44,28,1243499.28
Restaurant 842,Rural,American,4.9,49,35.41,4217,42635,15,683,186.1732677,1.7,2.8,Yes,8,42,408828.46
Restaurant 843,Suburban,American,3.7,62,43.87,762,13959,15,322,172.6268168,2.1,4.5,Yes,15,53,619434.97
Restaurant 844,Rural,American,4.8,31,35.29,3641,45202,18,231,160.9149648,8.8,4.8,No,10,24,273767.27
Restaurant 845,Suburban,French,4.7,52,62.23,1981,20788,15,515,167.6533928,6.1,3,No,47,49,739240.22
Restaurant 846,Rural,Japanese,3.4,38,65.87,1357,21463,3,396,210.7221275,2.6,6.8,Yes,20,5,561417.54
Restaurant 847,Downtown,French,4.2,79,57.76,6875,75141,5,952,291.7873542,2.3,1.3,Yes,41,45,1027046.67
Restaurant 848,Downtown,Mexican,3.1,82,32.94,3587,39054,5,935,268.8313348,5,2.8,No,22,70,612670.2
Restaurant 849,Downtown,French,4.7,90,58.08,2115,24354,16,474,268.7816009,8.3,6.6,No,53,26,1178133.32
Restaurant 850,Suburban,Mexican,3.3,62,30.62,3023,37713,10,919,225.8441833,8.2,6.6,Yes,61,24,444019.21
Restaurant 851,Downtown,Mexican,3.1,74,35.07,2749,31203,13,623,54.39690856,8.7,3.4,No,57,0,596323.06
Restaurant 852,Suburban,Mexican,3.8,56,25.55,1991,25227,15,679,160.1151332,7.9,7.1,No,44,8,342779.65
Restaurant 853,Downtown,Indian,4.2,86,38.92,5956,65665,8,389,177.7815588,1.6,5.2,No,83,21,761462.21
Restaurant 854,Downtown,French,4.7,84,55.72,3495,35026,7,301,260.6228263,7.5,5.7,No,80,21,1051848.64
Restaurant 855,Suburban,Indian,4.9,54,31.39,1240,20442,14,874,280.7105153,5.7,4,No,30,52,397272.22
Restaurant 856,Suburban,Japanese,3.9,56,66.31,3630,36304,6,148,162.8864712,7.5,9.9,No,51,1,838930.16
Restaurant 857,Downtown,French,3.1,71,65.94,1253,17376,8,544,125.1149084,5.4,7.6,Yes,28,69,1050033.54
Restaurant 858,Suburban,Japanese,4.5,67,66.98,2187,31175,15,338,134.3386756,5.4,3.2,Yes,47,64,1015047.57
Restaurant 859,Downtown,Japanese,4.1,79,74.86,3381,38584,17,812,194.665564,2.1,3.1,No,31,54,1329740.66
Restaurant 860,Suburban,Mexican,3.9,50,35.9,1958,23722,5,587,118.7429892,9.1,8,No,7,16,412777.8
Restaurant 861,Rural,French,3.6,43,59.22,3493,36377,12,649,277.6846814,4.4,4.5,No,8,31,584790.67
Restaurant 862,Rural,Japanese,4,48,71.94,1343,20644,13,841,154.6629952,6.2,1.8,No,45,43,784292.7
Restaurant 863,Rural,American,3.7,45,43.57,2914,30543,3,336,297.5160421,2.9,1.3,Yes,5,36,442838.87
Restaurant 864,Rural,Japanese,4.5,48,69.32,2639,30755,19,844,77.37881183,4.3,4.7,Yes,4,37,762218.21
Restaurant 865,Rural,American,4.1,35,36.78,3208,37842,15,98,96.96980857,8.8,4.7,Yes,12,3,311120.5
Restaurant 866,Downtown,French,4.8,81,59.77,5205,55198,18,634,177.8976714,2.9,7.4,No,24,4,1096918.99
Restaurant 867,Rural,Indian,4.1,32,38.49,1016,18370,7,243,267.0763433,2.9,6.2,No,30,17,286025.45
Restaurant 868,Rural,French,3.5,36,63.59,735,6226,14,759,138.4882775,3.3,7.9,Yes,33,22,527372.81
Restaurant 869,Rural,Indian,4.7,32,32.54,3767,43804,19,464,259.3669686,6.2,3.9,Yes,16,27,262258.24
Restaurant 870,Rural,Indian,4.1,46,31.92,1210,20642,11,714,156.3631466,5.7,6.6,No,25,41,345093.9
Restaurant 871,Suburban,French,3.4,64,65.13,3173,39518,7,65,263.2480088,2.6,9,No,19,16,934807.03
Restaurant 872,Downtown,Japanese,4.2,88,65.48,3363,42692,11,158,119.3578576,7.2,1.6,Yes,5,23,1286659.1
Restaurant 873,Rural,Italian,3.7,48,53.08,2894,35260,8,439,167.9729369,9.2,7.4,Yes,31,41,585080.72
Restaurant 874,Rural,Japanese,4.7,40,65.51,2468,30865,10,136,119.682829,2.8,7.4,No,32,33,598743
Restaurant 875,Rural,Japanese,3.9,50,74.22,1477,15026,11,416,103.8058814,7.1,8.1,Yes,19,34,839041.46
Restaurant 876,Downtown,Mexican,4.5,89,34.96,7801,79276,1,682,155.2864301,6.3,3.4,No,59,5,706522.1
Restaurant 877,Suburban,Mexican,3.2,51,28.27,740,11105,10,758,133.6766881,4,4.7,No,10,37,334607.57
Restaurant 878,Downtown,Japanese,3.8,76,65.81,6340,71757,7,706,246.7867391,6.6,3.2,Yes,46,66,1129122.21
Restaurant 879,Suburban,American,5,68,40.29,2023,25656,3,58,236.9096392,2.9,3.8,Yes,51,15,613441.12
Restaurant 880,Rural,Indian,4.6,36,33.28,4142,44861,19,395,139.6383508,8.5,9.7,Yes,9,28,300956.93
Restaurant 881,Rural,Mexican,3.3,39,29.59,1099,12534,4,495,298.0684903,1.2,5,Yes,38,9,264484.12
Restaurant 882,Downtown,Japanese,3.6,81,72.31,7111,70253,6,318,293.4594537,6.1,8.6,Yes,26,57,1316873.97
Restaurant 883,Downtown,Italian,3.7,87,47.31,3539,40137,1,952,279.4583694,3.9,8.2,No,39,2,919606.49
Restaurant 884,Suburban,American,4.3,55,38.93,2596,34227,4,801,196.6269982,8.9,5,No,33,38,489833.23
Restaurant 885,Suburban,French,4.5,69,63.61,1927,20390,7,537,153.0776855,5.5,9.9,No,35,21,984456.87
Restaurant 886,Downtown,Japanese,4.5,90,72.08,3317,36982,11,579,128.2557372,8.2,8.6,Yes,19,64,1454062.04
Restaurant 887,Suburban,Japanese,4,57,68.59,3862,46343,6,150,53.75801723,9.3,5.3,No,45,30,883063.37
Restaurant 888,Downtown,Indian,4.6,74,37.31,5676,64188,5,94,207.951683,4,3.8,Yes,68,4,628143.58
Restaurant 889,Suburban,American,3.9,52,43.42,1522,15008,12,457,188.2904775,8.9,1.7,Yes,9,26,517234.06
Restaurant 890,Downtown,Mexican,3.2,71,31.52,5676,55352,2,337,207.4678789,7.5,5.2,Yes,62,37,513530.56
Restaurant 891,Downtown,Mexican,4.1,75,27.63,4804,56953,18,56,193.9887281,2,4.2,Yes,31,19,486469.9
Restaurant 892,Downtown,Mexican,4.9,76,25,8969,93047,9,325,84.42898537,1.9,7.4,No,39,64,451080.85
Restaurant 893,Suburban,French,4.6,57,63.83,3141,38678,14,798,223.8448475,8.4,1.2,Yes,39,42,829001.52
Restaurant 894,Suburban,American,4.2,53,44.05,3195,33513,12,939,140.1089437,5.2,8.5,Yes,27,22,540642.95
Restaurant 895,Suburban,American,4.3,61,42.67,3654,43194,9,452,179.0737083,5.5,4.7,No,52,60,597452.27
Restaurant 896,Downtown,Mexican,4.9,81,25.84,4072,50160,1,415,141.4134434,9,5.2,No,28,63,478273.2
Restaurant 897,Suburban,Mexican,3.9,66,31.44,2204,21257,7,751,55.49996756,9.1,2.6,No,21,29,474726.61
Restaurant 898,Suburban,Indian,3.7,68,39.03,2765,32887,7,63,269.1384553,2,9.4,No,65,67,605004.57
Restaurant 899,Downtown,Italian,5,78,49.29,7598,84876,10,977,87.18336082,4.4,4.6,Yes,76,6,878108.36
Restaurant 900,Rural,Italian,4.7,41,47.18,4472,48191,2,826,195.5432657,9.1,8.6,No,34,27,448126.75
Restaurant 901,Downtown,Japanese,3.6,90,71.46,1506,22893,4,917,270.7827534,8.4,3.1,No,26,51,1428966.67
Restaurant 902,Suburban,Japanese,3.9,66,74.09,3130,34444,8,738,105.3323124,7.5,1.9,No,62,30,1098306.34
Restaurant 903,Downtown,American,3.8,79,35.54,6265,66103,14,651,153.0036832,1.9,6.7,Yes,29,16,648781.49
Restaurant 904,Rural,American,3.3,48,41.57,779,12975,13,654,144.4329955,6.6,9.9,Yes,28,13,463063.46
Restaurant 905,Downtown,French,4.9,80,62.07,2617,30076,16,577,72.30512011,6.2,6.8,Yes,34,18,1119777.34
Restaurant 906,Suburban,French,3.8,69,61.63,2389,27332,7,784,155.8793177,2.5,6.5,No,36,6,951897.49
Restaurant 907,Rural,Italian,4.8,42,52.15,1182,13747,10,713,169.8696215,8,5,No,25,22,502513.1
Restaurant 908,Suburban,Japanese,3.4,53,71.95,2243,25443,11,463,56.64933302,3.8,3.6,Yes,3,1,855674.1
Restaurant 909,Rural,Italian,4.1,44,46.43,2358,25429,11,185,172.0359393,6.6,4.9,Yes,34,11,471417.28
Restaurant 910,Rural,Italian,3,41,47.58,2993,36365,6,779,73.45753189,4.3,2.3,No,9,10,445290.59
Restaurant 911,Downtown,Japanese,4.5,79,71.81,3242,40120,12,384,273.1156648,1.8,3.4,Yes,19,28,1267996.88
Restaurant 912,Downtown,French,4.2,76,55.19,4159,44444,10,811,212.539437,5.7,5.4,No,59,34,949347.73
Restaurant 913,Suburban,Indian,4.3,51,36.98,2384,32655,9,931,64.10673315,3.8,2.3,No,9,27,433481.65
Restaurant 914,Downtown,Indian,3.1,90,37.32,2521,28749,6,187,256.7607545,1.6,8.1,No,29,57,755229.67
Restaurant 915,Downtown,Indian,3.4,76,32.63,2251,23280,9,469,140.3998623,2.8,1.1,No,74,6,562132.62
Restaurant 916,Rural,Japanese,3.1,37,71.58,3020,30903,3,536,106.4042848,6.6,3.9,No,15,16,597628.87
Restaurant 917,Downtown,Mexican,3.6,90,30.87,6012,64467,7,73,113.480304,1.9,5.6,Yes,6,65,633776.82
Restaurant 918,Rural,Mexican,4.3,48,27.87,2888,31713,3,290,199.4296468,1.8,9.4,No,22,21,309265.5
Restaurant 919,Rural,Mexican,4.1,35,30.09,2583,32495,8,697,70.38823366,9.5,6.2,No,0,27,254195.53
Restaurant 920,Rural,American,4.2,50,45.01,973,17514,8,562,64.68628406,2,3.7,No,44,1,509194.15
Restaurant 921,Suburban,French,4.1,57,59.69,3918,39531,13,806,206.8782616,4.4,4.2,Yes,6,27,773845.59
Restaurant 922,Suburban,French,3.5,69,61.93,1810,19566,2,379,295.4773674,2.2,4.1,No,40,60,951618.53
Restaurant 923,Suburban,American,3.5,53,35.39,964,17498,14,672,170.8571036,9.5,2.6,No,3,10,434946.7
Restaurant 924,Rural,Italian,3.3,49,45.86,2835,34221,5,520,153.3208318,5.3,2.3,No,1,44,509990.91
Restaurant 925,Suburban,Indian,4.7,58,30.89,1610,18807,13,407,286.7994257,2,5.3,No,16,20,414296.17
Restaurant 926,Suburban,Mexican,4.2,54,33.56,916,16173,13,507,110.2476453,7.9,3.4,No,39,17,420606.57
Restaurant 927,Downtown,Indian,3.4,75,33.85,5991,65516,19,466,110.1352583,8,1.8,No,8,55,595213.1
Restaurant 928,Suburban,Mexican,3.4,68,27.5,2192,28704,3,592,276.2790283,9.1,2.9,No,10,59,426334.7
Restaurant 929,Suburban,Indian,4.7,61,38.22,2005,28268,14,791,211.7327949,7.4,5.7,Yes,43,30,539923.94
Restaurant 930,Rural,Italian,4.5,34,46.87,4394,47560,4,126,63.4459471,1.5,3.3,No,18,2,365552.42
Restaurant 931,Rural,Indian,4.3,34,32.71,3253,36027,10,111,218.494352,6,3.1,No,13,18,266025.52
Restaurant 932,Rural,Indian,3.8,47,34.74,2452,32174,6,596,255.0078853,4.5,6.6,No,14,6,376302.32
Restaurant 933,Rural,Japanese,3.5,35,68.65,1216,15497,6,733,118.4883294,7.7,7.2,No,7,29,546188.5
Restaurant 934,Rural,Indian,5,38,36.44,3500,39025,2,224,145.7232186,6.3,3.2,Yes,32,10,319183.41
Restaurant 935,Rural,Japanese,4.6,40,68.72,3814,41997,2,977,99.41915447,7.5,5.2,No,1,10,620867.97
Restaurant 936,Suburban,French,3.6,63,59.32,2614,29513,19,496,208.3365674,2.6,7.9,Yes,1,16,850085.13
Restaurant 937,Rural,American,4.7,31,44.49,2691,35687,3,71,216.0487173,4.9,7.2,No,27,28,319502.41
Restaurant 938,Rural,Indian,4.5,43,39.73,4313,46583,4,696,67.13395785,4.9,1.6,Yes,19,31,393564.56
Restaurant 939,Downtown,French,3.6,88,64.1,1794,18834,4,183,219.4261627,9.8,4.2,No,22,3,1251936.4
Restaurant 940,Suburban,Japanese,3.9,59,74.51,3123,36447,11,986,214.613646,1.2,7.5,Yes,17,55,991937.28
Restaurant 941,Suburban,Indian,3.4,54,36.27,2142,23287,3,573,58.78361461,8.3,2.6,No,29,5,444135.55
Restaurant 942,Suburban,Indian,3.2,53,37.11,1976,18992,17,985,188.842519,1.9,2.8,Yes,20,50,458567.07
Restaurant 943,Rural,Italian,4.4,36,51.13,3064,31511,9,502,203.4846084,1.7,6.7,Yes,35,29,426756.79
Restaurant 944,Rural,French,3.5,42,63.64,3084,34453,14,948,157.5389143,4,3.6,Yes,2,40,614078.25
Restaurant 945,Rural,Mexican,4.6,39,31.06,4003,45320,2,149,275.3292939,7.3,3.9,No,16,12,282321.64
Restaurant 946,Downtown,Mexican,5,79,26.22,5613,62935,14,604,132.0923298,7.1,5.7,Yes,23,64,489087.61
Restaurant 947,Rural,Italian,3.2,33,53.91,1619,18461,3,891,66.794593,6.7,7.8,Yes,3,10,405691.95
Restaurant 948,Downtown,Japanese,3.9,85,73.37,7340,80039,2,825,217.9632487,8,5.5,No,72,79,1402273.37
Restaurant 949,Suburban,Mexican,4.6,64,34.02,4264,43388,1,250,201.3050631,3.1,9,Yes,32,44,495525.24
Restaurant 950,Rural,Mexican,4.6,50,27.09,1789,25722,4,702,297.2646276,6.7,2,No,33,48,312553.39
Restaurant 951,Downtown,American,4.5,80,37.99,5076,56740,10,233,107.8270702,6.7,7.8,Yes,44,41,696980.95
Restaurant 952,Downtown,French,3.7,88,58.25,1999,22446,15,811,148.8735966,6.9,5.9,Yes,53,61,1156377.3
Restaurant 953,Rural,Japanese,3.9,50,70.59,1640,22708,12,196,165.2949492,6.4,8.4,No,31,1,798606.78
Restaurant 954,Suburban,Indian,4.2,52,31.47,4163,48091,6,328,265.3769718,3,3.8,No,7,26,378123.92
Restaurant 955,Suburban,French,4.9,64,59.24,3414,40703,3,348,153.6419979,9.2,5.3,No,47,47,853978.55
Restaurant 956,Suburban,Japanese,3.7,65,67,2779,30286,3,329,243.0370811,9.8,8.4,No,59,19,977411.8
Restaurant 957,Downtown,Mexican,4.8,83,27.91,9243,95677,19,436,89.23568163,7.2,8.5,No,14,16,554527.72
Restaurant 958,Downtown,American,3.5,74,42.77,3688,43656,4,274,152.4460984,5,4.4,Yes,30,43,713215.63
Restaurant 959,Downtown,French,5,86,64.4,5102,58852,19,776,88.74436208,5.8,8.4,Yes,63,15,1256180.4
Restaurant 960,Downtown,Mexican,4.3,87,25.25,3326,37017,14,447,287.4197162,2,7.1,No,4,57,508912.35
Restaurant 961,Suburban,Japanese,3.9,68,71.22,803,12300,4,466,94.43932609,4.3,4.7,No,41,20,1076204.16
Restaurant 962,Rural,French,4.2,30,55.4,3515,36989,8,904,154.7681834,9.8,9.7,Yes,9,20,392264.55
Restaurant 963,Downtown,Indian,3.5,78,30.94,6872,76442,19,204,70.56518074,5.9,1.3,No,28,9,566799.96
Restaurant 964,Downtown,French,3.5,90,62.76,4063,46817,19,701,280.3458805,6,4.4,Yes,13,5,1272166.63
Restaurant 965,Suburban,Mexican,3.2,63,33.09,2581,24940,1,95,205.9546919,9.6,3.8,Yes,51,16,471768.26
Restaurant 966,Rural,French,3.2,49,63.95,1077,10791,15,160,290.6140656,9,9.4,No,12,11,714393.35
Restaurant 967,Rural,Indian,3.7,50,35.22,1028,14882,11,760,60.56790881,6.1,1.9,No,47,41,407564.46
Restaurant 968,Suburban,American,4.5,69,44.46,4264,47967,9,277,93.74462724,3.4,6.7,No,25,59,698968.05
Restaurant 969,Suburban,American,4.2,70,36.84,2791,30919,3,351,145.0122067,2.1,7.4,Yes,30,32,581225.73
Restaurant 970,Rural,Mexican,3.2,40,27.75,1436,22345,18,131,205.3399754,8.8,2.7,Yes,35,35,272315.75
Restaurant 971,Downtown,Japanese,4.7,71,66.48,5026,55491,19,193,132.3794183,9.3,2.3,Yes,26,22,1072388.11
Restaurant 972,Rural,Mexican,4.2,49,33.77,849,17002,16,619,227.9685051,5.4,1.4,No,36,2,386430.73
Restaurant 973,Suburban,American,4.9,54,37.52,2466,34433,16,191,91.28238672,1.9,2.4,No,32,8,469164.97
Restaurant 974,Downtown,Italian,4.3,84,46.71,3113,32354,3,390,200.1591396,6.5,8.3,Yes,3,66,879967.35
Restaurant 975,Downtown,Italian,3.4,81,51.85,2555,26390,18,476,149.4915444,4.3,9.5,No,74,61,957770.9
Restaurant 976,Suburban,French,3.9,63,55.85,817,14083,13,524,177.0602447,2.4,9.1,Yes,24,45,796143.75
Restaurant 977,Suburban,Indian,4.3,60,30.49,2335,26092,8,586,192.4082653,9.3,4.3,No,55,8,423338.57
Restaurant 978,Suburban,French,3.1,70,56.17,1895,18257,7,663,64.97397007,3.2,7.5,Yes,4,21,879921.7
Restaurant 979,Rural,Italian,3,38,45,756,14918,19,192,281.0060653,7.4,8.4,Yes,1,13,404283.9
Restaurant 980,Rural,American,3.3,49,42.67,871,12592,12,635,246.5229588,4.9,8.3,No,39,30,482642.1
Restaurant 981,Downtown,French,3.5,77,61.18,4397,50723,18,463,160.6139472,8.5,1.6,No,76,53,1072678.21
Restaurant 982,Suburban,Mexican,3.9,61,27.31,2555,32804,15,93,186.8673746,7.3,2.9,Yes,55,59,393706.33
Restaurant 983,Downtown,Indian,4,72,32.56,3142,35067,12,954,58.13390076,2.1,9.5,Yes,26,52,542120.11
Restaurant 984,Downtown,Mexican,3.3,90,33.92,5817,63872,6,909,174.4868334,5,7.7,No,80,86,700281.02
Restaurant 985,Downtown,Indian,4.3,84,35.52,4156,50135,17,290,156.5789853,3.3,8.5,Yes,53,32,688665.87
Restaurant 986,Downtown,American,4.2,77,42.68,7542,74858,4,131,143.6213167,7.4,5.6,Yes,74,40,750396.26
Restaurant 987,Suburban,French,3.6,56,59.98,734,9726,12,444,253.8380334,5.9,4.5,Yes,8,27,757369.32
Restaurant 988,Downtown,Indian,3,86,32.61,1209,18719,17,919,95.48109363,4.1,6.9,Yes,10,20,642242.49
Restaurant 989,Suburban,Mexican,3.2,61,35.67,2257,29490,5,548,94.07756238,4,5.3,No,6,25,493227.3
Restaurant 990,Suburban,French,3.8,69,61.22,3698,44076,6,115,180.4194565,2,4.4,Yes,29,9,944602.58
Restaurant 991,Rural,French,3.3,47,56.44,3101,36570,15,327,221.7859572,2.9,4.1,No,28,22,609392.92
Restaurant 992,Suburban,Mexican,3.8,67,29.47,764,15870,8,648,55.61013238,7.4,2.4,No,36,66,451554.75
Restaurant 993,Rural,Italian,4.3,44,48.62,2877,34702,16,965,186.4601226,6.5,5.8,Yes,11,9,499605.32
Restaurant 994,Suburban,Indian,4.1,52,32.35,3246,39902,13,926,124.6747822,4.2,5.7,Yes,44,44,397914.7
Restaurant 995,Suburban,Mexican,3.5,68,35.27,1358,13873,15,974,239.2203795,8.5,6.3,No,66,0,554647.31
Restaurant 996,Suburban,American,3.7,64,44.69,931,14966,13,907,167.2179767,5.4,2,Yes,47,27,650340.9
Restaurant 997,Rural,Japanese,4.2,45,67.19,3411,42132,15,602,258.5188163,8.1,9.2,Yes,35,12,697392.48
Restaurant 998,Rural,Mexican,4.7,46,28.87,1939,27197,2,940,149.2439939,8,7.7,Yes,16,38,308393.71
Restaurant 999,Downtown,French,4.5,70,63.39,2048,20186,18,765,256.7723872,8.6,2.2,Yes,9,57,1004963.74
Restaurant 1000,Rural,French,4.1,40,57.29,3109,33012,7,929,229.1267711,8.6,1.7,Yes,12,37,524989.71
Restaurant 1001,Rural,Mexican,3.7,35,31.51,2639,34115,9,398,257.0643467,7.1,6.8,Yes,22,0,264627.62
Restaurant 1002,Rural,Japanese,3.7,38,72.7,1351,13710,7,900,253.1051158,7.7,4.1,No,29,1,624602.4
Restaurant 1003,Rural,Mexican,4.8,49,32.19,2813,34637,9,787,171.5911046,8,3.9,No,27,5,368936.32
Restaurant 1004,Downtown,Japanese,3.1,85,72.77,5424,56661,12,97,142.022852,2.5,8.6,No,22,17,1386164.63
Restaurant 1005,Rural,Japanese,5,35,72.77,4582,54815,10,332,241.2862102,3.7,4.1,Yes,4,17,583487.97
Restaurant 1006,Suburban,American,4.3,61,45.61,2005,26183,10,399,140.3810192,1.9,6.7,Yes,48,21,631865.73
Restaurant 1007,Suburban,Indian,4.4,68,33.81,4374,49389,13,790,72.3491426,2.7,5.8,No,29,46,533894.72
Restaurant 1008,Rural,French,3.1,42,64.66,1585,17097,5,976,264.7111619,8,3.4,Yes,8,11,611855.57
Restaurant 1009,Rural,French,4.2,42,55.24,1636,20171,8,909,149.2995592,9.5,4,No,33,10,530503.39
Restaurant 1010,Suburban,Japanese,4,53,68.17,1183,12676,10,458,83.15098769,7.1,9.5,Yes,47,8,816622.84
Restaurant 1011,Suburban,French,3.2,58,55.54,904,15374,6,994,211.6192032,9,4,No,25,46,726025.12
Restaurant 1012,Downtown,Italian,3.6,83,52.16,3633,41348,11,759,272.443312,3.9,8.1,No,80,27,979728.34
Restaurant 1013,Suburban,Japanese,4.8,63,66.11,4410,47619,4,753,265.2413803,8.6,8.8,Yes,33,41,940213.76
Restaurant 1014,Suburban,French,4.1,66,64.3,2040,25594,2,361,188.6117052,4,1.6,Yes,1,38,941761.6
Restaurant 1015,Rural,Italian,3.8,34,52.11,1848,19345,6,440,72.01777925,9,7,No,5,18,407828.84
Restaurant 1016,Suburban,American,3.1,68,35.32,2555,28030,13,631,224.1507705,8.2,7.7,Yes,23,19,554914.88
Restaurant 1017,Downtown,French,4.4,71,62.86,4245,46595,12,980,202.207175,9.9,4.9,No,13,67,1012496.19
Restaurant 1018,Suburban,Italian,4.4,62,54.48,2721,34795,14,582,102.5370847,8.4,6.1,No,12,26,770034.93
Restaurant 1019,Rural,Mexican,4.2,40,32.27,2369,29290,8,608,275.1350641,4.6,2.5,Yes,10,0,300791.9
Restaurant 1020,Rural,Indian,4,31,30.34,1463,23064,3,877,71.66693431,2,3.9,No,7,26,218031.18
Restaurant 1021,Suburban,Mexican,3.9,50,34.44,1789,19194,5,929,143.2595646,8.9,7.4,No,24,45,398145.56
Restaurant 1022,Rural,Italian,4.2,50,53.06,1070,10155,7,962,73.63326328,6.1,6.4,Yes,29,40,601954.89
Restaurant 1023,Downtown,Japanese,3.5,72,69.16,2754,32517,18,282,277.9862142,8.7,2.2,Yes,33,63,1126925.09
